Metric,Experiment,Score,CI_low,CI_high
IQM,MultiQRL,0.195,0.002,0.531
IQM,w/ naive IDs,0.008,0.004,0.426
IQM,w/ one-hot,0.016,0.006,0.111
IQM,w/ one-hot & w/ naive IDs,0.143,0.005,0.666
IQM,One-hot MT-TD3,0.01,0.004,0.285
IQM,TD-MPC2 w/ mpc=False,0.031,0.004,0.11
IQM,iQRL (single-task),0.91,0.857,0.94
