Metric,Experiment,Score,CI_low,CI_high
IQM,MultiQRL,0.787,0.782,0.799
IQM,One-hot MT-TD3,0.742,0.738,0.749
IQM,MultiQRL (single-task),0.781,0.722,0.808
IQM,iQRL (single-task),0.807,0.774,0.811
